file_name,cell_count,file_name_ch2,ch2_pos,plate_id,well
M13_02_1_1_RFP_001.tif,247,M13_02_2_1_GFP_001.tif,13,82,M13
C7_02_1_1_RFP_001.tif,221,C7_02_2_1_GFP_001.tif,0,82,C07
M10_02_1_2_RFP_001.tif,510,M10_02_2_2_GFP_001.tif,62,82,M10
N20_02_1_2_RFP_001.tif,482,N20_02_2_2_GFP_001.tif,13,82,N20
K16_02_1_2_RFP_001.tif,434,K16_02_2_2_GFP_001.tif,6,82,K16
K15_02_1_2_RFP_001.tif,394,K15_02_2_2_GFP_001.tif,6,82,K15
I21_02_1_2_RFP_001.tif,46,I21_02_2_2_GFP_001.tif,29,82,I21
G16_02_1_2_RFP_001.tif,176,G16_02_2_2_GFP_001.tif,95,82,G16
I15_02_1_2_RFP_001.tif,84,I15_02_2_2_GFP_001.tif,54,82,I15
F15_02_1_2_RFP_001.tif,45,F15_02_2_2_GFP_001.tif,28,82,F15
L18_02_1_2_RFP_001.tif,391,L18_02_2_2_GFP_001.tif,173,82,L18
E16_02_1_1_RFP_001.tif,28,E16_02_2_1_GFP_001.tif,20,82,E16
I7_02_1_1_RFP_001.tif,49,I7_02_2_1_GFP_001.tif,30,82,I07
F11_02_1_1_RFP_001.tif,41,F11_02_2_1_GFP_001.tif,26,82,F11
G18_02_1_1_RFP_001.tif,175,G18_02_2_1_GFP_001.tif,104,82,G18
D8_02_1_2_RFP_001.tif,294,D8_02_2_2_GFP_001.tif,1,82,D08
J14_02_1_1_RFP_001.tif,24,J14_02_2_1_GFP_001.tif,16,82,J14
M7_02_1_1_RFP_001.tif,226,M7_02_2_1_GFP_001.tif,13,82,M07
C15_02_1_1_RFP_001.tif,213,C15_02_2_1_GFP_001.tif,2,82,C15
E15_02_1_2_RFP_001.tif,42,E15_02_2_2_GFP_001.tif,27,82,E15
E13_02_1_2_RFP_001.tif,42,E13_02_2_2_GFP_001.tif,28,82,E13
N2_02_1_2_RFP_001.tif,414,N2_02_2_2_GFP_001.tif,54,82,N02
H16_02_1_1_RFP_001.tif,120,H16_02_2_1_GFP_001.tif,77,82,H16
K2_02_1_1_RFP_001.tif,209,K2_02_2_1_GFP_001.tif,3,82,K02
C14_02_1_1_RFP_001.tif,338,C14_02_2_1_GFP_001.tif,2,82,C14
D2_02_1_2_RFP_001.tif,409,D2_02_2_2_GFP_001.tif,2,82,D02
G7_02_1_2_RFP_001.tif,128,G7_02_2_2_GFP_001.tif,80,82,G07
N23_02_1_1_RFP_001.tif,265,N23_02_2_1_GFP_001.tif,2,82,N23
I11_02_1_1_RFP_001.tif,74,I11_02_2_1_GFP_001.tif,49,82,I11
J16_02_1_2_RFP_001.tif,63,J16_02_2_2_GFP_001.tif,31,82,J16
D8_02_1_1_RFP_001.tif,139,D8_02_2_1_GFP_001.tif,3,82,D08
N6_02_1_2_RFP_001.tif,444,N6_02_2_2_GFP_001.tif,64,82,N06
K15_02_1_1_RFP_001.tif,110,K15_02_2_1_GFP_001.tif,8,82,K15
M12_02_1_1_RFP_001.tif,269,M12_02_2_1_GFP_001.tif,94,82,M12
H17_02_1_2_RFP_001.tif,158,H17_02_2_2_GFP_001.tif,73,82,H17
F19_02_1_1_RFP_001.tif,24,F19_02_2_1_GFP_001.tif,15,82,F19
J22_02_1_2_RFP_001.tif,53,J22_02_2_2_GFP_001.tif,31,82,J22
I13_02_1_1_RFP_001.tif,37,I13_02_2_1_GFP_001.tif,20,82,I13
E9_02_1_1_RFP_001.tif,40,E9_02_2_1_GFP_001.tif,36,82,E09
H20_02_1_2_RFP_001.tif,135,H20_02_2_2_GFP_001.tif,60,82,H20
H23_02_1_2_RFP_001.tif,95,H23_02_2_2_GFP_001.tif,59,82,H23
C13_02_1_1_RFP_001.tif,311,C13_02_2_1_GFP_001.tif,6,82,C13
E23_02_1_2_RFP_001.tif,21,E23_02_2_2_GFP_001.tif,14,82,E23
C18_02_1_1_RFP_001.tif,119,C18_02_2_1_GFP_001.tif,0,82,C18
E13_02_1_1_RFP_001.tif,28,E13_02_2_1_GFP_001.tif,22,82,E13
J21_02_1_1_RFP_001.tif,117,J21_02_2_1_GFP_001.tif,80,82,J21
I9_02_1_2_RFP_001.tif,81,I9_02_2_2_GFP_001.tif,43,82,I09
C12_02_1_1_RFP_001.tif,272,C12_02_2_1_GFP_001.tif,1,82,C12
J8_02_1_1_RFP_001.tif,48,J8_02_2_1_GFP_001.tif,35,82,J08
D13_02_1_1_RFP_001.tif,177,D13_02_2_1_GFP_001.tif,9,82,D13
G3_02_1_2_RFP_001.tif,153,G3_02_2_2_GFP_001.tif,94,82,G03
M19_02_1_1_RFP_001.tif,201,M19_02_2_1_GFP_001.tif,16,82,M19
K17_02_1_2_RFP_001.tif,524,K17_02_2_2_GFP_001.tif,5,82,K17
H18_02_1_2_RFP_001.tif,131,H18_02_2_2_GFP_001.tif,79,82,H18
J17_02_1_1_RFP_001.tif,11,J17_02_2_1_GFP_001.tif,9,82,J17
G6_02_1_2_RFP_001.tif,140,G6_02_2_2_GFP_001.tif,94,82,G06
M8_02_1_2_RFP_001.tif,473,M8_02_2_2_GFP_001.tif,22,82,M08
L4_02_1_2_RFP_001.tif,201,L4_02_2_2_GFP_001.tif,87,82,L04
L21_02_1_2_RFP_001.tif,295,L21_02_2_2_GFP_001.tif,145,82,L21
J9_02_1_1_RFP_001.tif,54,J9_02_2_1_GFP_001.tif,38,82,J09
M16_02_1_2_RFP_001.tif,460,M16_02_2_2_GFP_001.tif,24,82,M16
M14_02_1_1_RFP_001.tif,203,M14_02_2_1_GFP_001.tif,30,82,M14
L2_02_1_2_RFP_001.tif,163,L2_02_2_2_GFP_001.tif,70,82,L02
E19_02_1_2_RFP_001.tif,49,E19_02_2_2_GFP_001.tif,24,82,E19
